TutorId,CourseCodCourse
63b13d08-44b0-48b4-9a2c-6c2211f2e179,30
c0402037-9f54-48e9-9cfa-0938fecff273,69
2eb9a4cd-ecbd-4efe-9643-eb8aa02450dc,74
4134badd-830d-485a-99ff-5bfaeaaa78e9,90
6f6de187-fb55-47e4-8c9b-4882327f4e65,101
149e4171-bbd8-4212-838d-15d03ed07a9f,103
6f4fd370-2ea5-498f-b482-c0a20b900fe9,107
cad31c0c-0f8a-4e49-be58-ee6c52517c4e,112
9d6df8d9-9551-476f-9f1f-16cae5cbb84c,114
5562df2e-2bc9-4bc8-b4c0-4adc9e2d85ff,116
5562df2e-2bc9-4bc8-b4c0-4adc9e2d85ff,118
dca2bd23-3d11-4725-a712-2c1d1c0cf924,123
9854384c-1eae-46f8-b495-727d3eac3ef7,147
9268ca02-010b-4155-81d4-6b967a2bdb8d,152
bfc4d7d7-d50f-4275-9099-9ac26b49a402,154
9854384c-1eae-46f8-b495-727d3eac3ef7,170
5237c0e5-c343-43b9-ac78-6b6608c39ae9,204
5237c0e5-c343-43b9-ac78-6b6608c39ae9,236
cf397756-1f23-44cc-8470-82d76d60d240,245
65cd6918-9043-488c-98be-856a157f5bda,250
a0164778-7c84-4abe-b114-3f03cd6b521f,252
c0001387-5c58-45e9-9191-3d8fb200b7fe,281
8b8d928c-93e7-449c-8a1e-0b6e40a71a26,283
46e1c6df-0d15-4359-8aec-5ed4a211245d,285
46e1c6df-0d15-4359-8aec-5ed4a211245d,285
dbc5a7bf-b9e7-43c1-bd63-3f45ce7f2293,300
2e33469c-860b-4c81-adc9-cba9d53c9d52,302
2e33469c-860b-4c81-adc9-cba9d53c9d52,302
dbc5a7bf-b9e7-43c1-bd63-3f45ce7f2293,314
43d9bcd5-4870-4eed-ab52-1316876e5bac,318
de06bc24-ef88-4fe0-8e21-68f446feb70e,352
0dc2eeb4-a9df-4dc3-8012-4f25a13d4d1d,358
ff0b9765-f9f4-4b85-8d32-1ce97e3cee5d,360
eec0c626-62e5-4451-9678-5572548a0173,366
eec0c626-62e5-4451-9678-5572548a0173,366
fafdeba4-bbd8-43a6-bbc4-f4655a423161,380
ffb45b08-1d3c-40cc-a921-48cec7557a7c,382
fafdeba4-bbd8-43a6-bbc4-f4655a423161,386
ede8ac57-a7dd-4f6c-9de3-3037e63beced,388
044904f7-3d79-4df6-93f3-6c162fafdfb4,392
fafdeba4-bbd8-43a6-bbc4-f4655a423161,394
3d53e795-99cc-4f04-96d5-abf766572902,410
686d7090-191f-4695-adf6-5dc694a4d897,412
61020990-fcb5-489f-9ce4-e9949e020fa6,428
7a144dba-90b1-4877-bf33-b29ce758aeb8,430
456ad22e-6d74-4e99-8b5c-cea573ab1e4a,450
c4ae2c99-df29-4899-81da-e0ebde0265d0,452
03b12749-dafd-49e0-a783-8a227b298c44,453
5237c0e5-c343-43b9-ac78-6b6608c39ae9,462
bad6a1eb-845b-48c9-b2b2-911753742d94,504
c4ae2c99-df29-4899-81da-e0ebde0265d0,520
99b4203b-3d33-4d25-9fda-d8bfb7b7e76a,522
c4ae2c99-df29-4899-81da-e0ebde0265d0,601
1ce0260b-e4ac-4fb1-adcd-3659df5b4748,608
197720ca-8762-464b-9447-f53852926cb5,610
e0c73af8-76ab-4384-81db-bed51e21e999,630
4d037f71-e81c-45fc-ac57-fb4e98f5576c,632
e0c73af8-76ab-4384-81db-bed51e21e999,636
4d037f71-e81c-45fc-ac57-fb4e98f5576c,637
927f476c-141e-4957-936c-67348f8252bc,638
9fa82612-30de-4576-b890-2a8cdbe0e286,640
a3e35985-48e3-4e7d-b841-85da6c87cfd6,642
81e27c60-de23-4263-ad5b-73045219d73d,650
300e17aa-f60a-48f8-a9b4-ee89ec55a2c8,652
80790b64-2b3e-4846-aeca-d2aabf25113d,654
e7e14aa0-7006-4b14-914b-4d1b0fb0eccc,656
37b73248-e48a-4e0f-a5e4-8b28fa031ae4,658
4b4708c7-d5e4-45a1-9dc4-c43f52f09da6,660
4b4708c7-d5e4-45a1-9dc4-c43f52f09da6,662
b77edbc2-8957-484f-8ab3-55ab7269642e,663
